horizon,<= 1bp,<= 5bp,<= 10bp,<= 25bp,<= 50bp,median_bp
5m,10.865003052503052,45.93444749694749,69.80311355311355,93.07081807081808,98.72557997557998,5.667902385977792
15m,5.391483516483516,26.968864468864467,49.37042124542125,81.25,94.68864468864469,10.146760972429263
30m,4.017857142857143,19.768772893772894,36.973443223443226,70.75320512820514,90.06410256410257,14.546364668517253
1h,3.296703296703297,14.62912087912088,28.434065934065934,57.39468864468864,81.43315018315019,20.204508486717458
4h,1.3736263736263736,6.501831501831503,13.186813186813188,32.69230769230769,55.769230769230774,42.83150143335082
