chart,series,x_value,x_label,metric,value_share,value_pct,source
five_minute_activity_retention,dollars,2,2,retention,0.475182,47.518,report/index.html
five_minute_activity_retention,dollars,3,3,retention,0.375912,37.591,report/index.html
five_minute_activity_retention,dollars,4,4,retention,0.29708,29.708,report/index.html
five_minute_activity_retention,dollars,5,5,retention,0.228832,22.883,report/index.html
five_minute_activity_retention,dollars,6,6,retention,0.181022,18.102,report/index.html
five_minute_activity_retention,dollars,7,7,retention,0.140876,14.088,report/index.html
five_minute_activity_retention,dollars,8,8,retention,0.110949,11.095,report/index.html
five_minute_activity_retention,dollars,9,9,retention,0.086131,8.613,report/index.html
five_minute_activity_retention,dollars,10,10,retention,0.067153,6.715,report/index.html
five_minute_activity_retention,dollars,11,11,retention,0.056934,5.693,report/index.html
five_minute_activity_retention,dollars,12,12,retention,0.056934,5.693,report/index.html
cohort_funnel,5m:new_wallets,0,Feb. 9,new_wallets,,23314,report/index.html
cohort_funnel,5m:week_1_retention,0,Feb. 9,week_1_retention,0.631387,63.139,report/index.html
cohort_funnel,5m:week_4_retention,0,Feb. 9,week_4_retention,0.277007,27.701,report/index.html
cohort_funnel,5m:new_wallets,1,,new_wallets,,19486,report/index.html
cohort_funnel,5m:week_1_retention,1,,week_1_retention,0.518248,51.825,report/index.html
cohort_funnel,5m:week_4_retention,1,,week_4_retention,0.218613,21.861,report/index.html
cohort_funnel,5m:new_wallets,2,Feb. 23,new_wallets,,16531,report/index.html
cohort_funnel,5m:week_1_retention,2,Feb. 23,week_1_retention,0.530657,53.066,report/index.html
cohort_funnel,5m:week_4_retention,2,Feb. 23,week_4_retention,0.209854,20.985,report/index.html
cohort_funnel,5m:new_wallets,3,,new_wallets,,17375,report/index.html
cohort_funnel,5m:week_1_retention,3,,week_1_retention,0.495255,49.526,report/index.html
cohort_funnel,5m:week_4_retention,3,,week_4_retention,0.189051,18.905,report/index.html
cohort_funnel,5m:new_wallets,4,Mar. 9,new_wallets,,16513,report/index.html
