chart,duration,cohort_index,visible_cohort_label,cohort_week_from_visible_label,new_wallets,prior_exact_wallets_check,week_1_retention_share,week_1_retention_pct,week_4_retention_share,week_4_retention_pct,prior_week_1_share_check,prior_week_4_share_check,source,note
cohort_funnel,1h,5,,,2246,,0.527007,52.701,0.189781,18.978,,,report/index.html,chart-ready June retention dataset
cohort_funnel,1h,6,Feb. 9,2026-02-09,2733,2733,0.55438,55.438,0.168613,16.861,0.554336,0.168679,report/index.html,chart-ready June retention dataset
cohort_funnel,1h,7,,,2292,,0.470438,47.044,0.162044,16.204,,,report/index.html,chart-ready June retention dataset
cohort_funnel,1h,8,,,3260,,0.669708,66.971,0.45,45.0,,,report/index.html,chart-ready June retention dataset
cohort_funnel,1h,9,Mar. 2,2026-03-02,2399,2398,0.555474,55.547,0.236496,23.65,0.555463,0.236447,report/index.html,chart-ready June retention dataset
cohort_funnel,1h,10,,,1932,,0.538321,53.832,0.222628,22.263,,,report/index.html,chart-ready June retention dataset
cohort_funnel,1h,11,,,1645,,0.481387,48.139,0.193431,19.343,,,report/index.html,chart-ready June retention dataset
cohort_funnel,1h,12,Mar. 23,2026-03-23,1220,1220,0.562409,56.241,0.215693,21.569,0.562295,0.215574,report/index.html,chart-ready June retention dataset
cohort_funnel,1h,13,,,1257,,0.587591,58.759,0.177372,17.737,,,report/index.html,chart-ready June retention dataset
cohort_funnel,1h,14,,,1292,,0.596715,59.672,0.205839,20.584,,,report/index.html,chart-ready June retention dataset
cohort_funnel,1h,15,Apr. 13,2026-04-13,1216,1216,0.559124,55.912,0.190876,19.088,0.559211,0.190789,report/index.html,chart-ready June retention dataset
cohort_funnel,1h,16,,,930,,0.529927,52.993,0.176277,17.628,,,report/index.html,chart-ready June retention dataset
cohort_funnel,1h,17,,,755,,0.551095,55.109,,,,,report/index.html,chart-ready June retention dataset
cohort_funnel,1h,18,May 4,2026-05-04,643,643,0.566058,56.606,,,0.566096,,report/index.html,chart-ready June retention dataset
cohort_funnel,1h,19,,,537,,0.558759,55.876,,,,,report/index.html,chart-ready June retention dataset
cohort_funnel,1h,20,,,498,,0.526642,52.664,,,,,report/index.html,chart-ready June retention dataset
cohort_funnel,1h,21,Jun 1,2026-06-01,951,,0.600365,60.036,,,,,report/index.html,chart-ready June retention dataset
cohort_funnel,1h,22,,,722,,0.563504,56.35,,,,,report/index.html,chart-ready June retention dataset
cohort_funnel,1h,23,,,627,,0.504745,50.474,,,,,report/index.html,chart-ready June retention dataset
cohort_funnel,1h,24,Jun 22,2026-06-22,375,,,,,,,,report/index.html,chart-ready June retention dataset
cohort_funnel,4h,0,Dec. 29,2025-12-29,225,225,0.813504,81.35,0.582117,58.212,0.813333,0.582222,report/index.html,chart-ready June retention dataset
cohort_funnel,4h,1,,,189,,0.724818,72.482,0.375547,37.555,,,report/index.html,chart-ready June retention dataset
cohort_funnel,4h,2,,,241,,0.684672,68.467,0.352555,35.255,,,report/index.html,chart-ready June retention dataset
cohort_funnel,4h,3,Jan. 19,2026-01-19,255,255,0.698175,69.818,0.454745,45.474,0.698039,0.454902,report/index.html,chart-ready June retention dataset
cohort_funnel,4h,4,,,244,,0.692701,69.27,0.336131,33.613,,,report/index.html,chart-ready June retention dataset
cohort_funnel,4h,5,,,325,,0.677007,67.701,0.233942,23.394,,,report/index.html,chart-ready June retention dataset
cohort_funnel,4h,6,Feb. 9,2026-02-09,366,366,0.625547,62.555,0.177737,17.774,0.625683,0.177596,report/index.html,chart-ready June retention dataset
cohort_funnel,4h,7,,,420,,0.516788,51.679,0.214234,21.423,,,report/index.html,chart-ready June retention dataset
cohort_funnel,4h,8,,,297,,0.565693,56.569,0.343431,34.343,,,report/index.html,chart-ready June retention dataset
cohort_funnel,4h,9,Mar. 2,2026-03-02,294,294,0.64635,64.635,0.295985,29.599,0.646259,0.295918,report/index.html,chart-ready June retention dataset
cohort_funnel,4h,10,,,269,,0.613504,61.35,0.312409,31.241,,,report/index.html,chart-ready June retention dataset
cohort_funnel,4h,11,,,275,,0.716423,71.642,0.458029,45.803,,,report/index.html,chart-ready June retention dataset
cohort_funnel,4h,12,Mar. 23,2026-03-23,209,209,0.664964,66.496,0.330292,33.029,0.665072,0.330144,report/index.html,chart-ready June retention dataset
cohort_funnel,4h,13,,,274,,0.554745,55.474,0.233577,23.358,,,report/index.html,chart-ready June retention dataset
cohort_funnel,4h,14,,,288,,0.645985,64.599,0.211679,21.168,,,report/index.html,chart-ready June retention dataset
cohort_funnel,4h,15,Apr. 13,2026-04-13,315,315,0.527007,52.701,0.203285,20.328,0.526984,0.203175,report/index.html,chart-ready June retention dataset
cohort_funnel,4h,16,,,237,,0.561314,56.131,0.202555,20.255,,,report/index.html,chart-ready June retention dataset
cohort_funnel,4h,17,,,226,,0.513139,51.314,,,,,report/index.html,chart-ready June retention dataset
cohort_funnel,4h,18,May 4,2026-05-04,158,158,0.64562,64.562,,,0.64557,,report/index.html,chart-ready June retention dataset
cohort_funnel,4h,19,,,97,,0.536131,53.613,,,,,report/index.html,chart-ready June retention dataset
cohort_funnel,4h,20,,,105,,0.6,60.0,,,,,report/index.html,chart-ready June retention dataset
cohort_funnel,4h,21,Jun 1,2026-06-01,302,,0.736861,73.686,,,,,report/index.html,chart-ready June retention dataset
cohort_funnel,4h,22,,,170,,0.625912,62.591,,,,,report/index.html,chart-ready June retention dataset
cohort_funnel,4h,23,,,93,,0.526277,52.628,,,,,report/index.html,chart-ready June retention dataset
cohort_funnel,weekly,0,Dec. 29,2025-12-29,9001,9001,0.932482,93.248,0.735036,73.504,0.932341,0.735141,report/index.html,chart-ready June retention dataset
cohort_funnel,weekly,1,,,6836,,0.848905,84.891,0.331752,33.175,,,report/index.html,chart-ready June retention dataset
cohort_funnel,weekly,2,,,2963,,0.740876,74.088,0.477372,47.737,,,report/index.html,chart-ready June retention dataset
cohort_funnel,weekly,3,Jan. 19,2026-01-19,2761,2760,0.746715,74.672,0.228102,22.81,0.746739,0.228261,report/index.html,chart-ready June retention dataset
cohort_funnel,weekly,4,,,1970,,0.7,70.0,0.390146,39.015,,,report/index.html,chart-ready June retention dataset
cohort_funnel,weekly,5,,,1552,,0.721168,72.117,0.467883,46.788,,,report/index.html,chart-ready June retention dataset
cohort_funnel,weekly,6,Feb. 9,2026-02-09,2272,2271,0.745985,74.599,0.432117,43.212,0.745927,0.431968,report/index.html,chart-ready June retention dataset
cohort_funnel,weekly,7,,,1715,,0.810584,81.058,0.380292,38.029,,,report/index.html,chart-ready June retention dataset
cohort_funnel,weekly,8,,,2233,,0.816788,81.679,0.34927,34.927,,,report/index.html,chart-ready June retention dataset
cohort_funnel,weekly,9,Mar. 2,2026-03-02,3505,3505,0.860584,86.058,0.712774,71.277,0.860485,0.712696,report/index.html,chart-ready June retention dataset
cohort_funnel,weekly,10,,,2289,,0.829562,82.956,0.621898,62.19,,,report/index.html,chart-ready June retention dataset
cohort_funnel,weekly,11,,,1474,,0.712774,71.277,0.463139,46.314,,,report/index.html,chart-ready June retention dataset
cohort_funnel,weekly,12,Mar. 23,2026-03-23,1262,1260,0.704015,70.401,0.346715,34.672,0.703968,0.346825,report/index.html,chart-ready June retention dataset
cohort_funnel,weekly,13,,,1113,,0.733942,73.394,0.34708,34.708,,,report/index.html,chart-ready June retention dataset
cohort_funnel,weekly,14,,,861,,0.672993,67.299,0.322628,32.263,,,report/index.html,chart-ready June retention dataset
cohort_funnel,weekly,15,Apr. 13,2026-04-13,889,889,0.719708,71.971,0.255474,25.547,0.704162,0.397075,report/index.html,chart-ready June retention dataset
cohort_funnel,weekly,16,Jun 1,2026-06-01,900,,0.714964,71.496,,,,,report/index.html,chart-ready June retention dataset
